antecedents,consequents,support,confidence,lift
"frozenset({'NumWebPurchases_Low', 'Customer_Seniority_High'})",frozenset({'Response_0'}),0.07678571428571429,0.88659793814433,1.0419619000227174
frozenset({'Response_0'}),"frozenset({'NumWebPurchases_Low', 'Customer_Seniority_High'})",0.07678571428571429,0.09024134312696748,1.0419619000227174
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'Recency_High'}),0.09419642857142857,0.3734513274336283,1.1213551922940046
frozenset({'Recency_High'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.09419642857142857,0.2828418230563003,1.1213551922940048
"frozenset({'Total_Spent_High', 'Response_0'})",frozenset({'Customer_Seniority_High'}),0.09330357142857143,0.37254901960784315,1.118645849760816
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'Total_Spent_High'}),0.09330357142857143,0.36991150442477877,1.1092393171506085
frozenset({'Total_Spent_High'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.09330357142857143,0.27978580990629187,1.1092393171506085
frozenset({'Customer_Seniority_High'}),"frozenset({'Total_Spent_High', 'Response_0'})",0.09330357142857143,0.2801608579088472,1.118645849760816
"frozenset({'Total_Spent_Low', 'Customer_Seniority_High'})",frozenset({'Response_0'}),0.07142857142857142,0.8602150537634409,1.0109557819675277
frozenset({'Response_0'}),"frozenset({'Total_Spent_Low', 'Customer_Seniority_High'})",0.07142857142857142,0.08394543546694648,1.0109557819675274
"frozenset({'Response_0', 'Customer_Seniority_High'})",frozenset({'Total_Spent_Med'}),0.0875,0.34690265486725663,1.043036170339134
frozenset({'Total_Spent_Med'}),"frozenset({'Response_0', 'Customer_Seniority_High'})",0.0875,0.26308724832214764,1.043036170339134
"frozenset({'Customer_Seniority_Low', 'Engagement_Score_High'})",frozenset({'Response_0'}),0.06517857142857143,0.8742514970059881,1.0274519167331655
frozenset({'Response_0'}),"frozenset({'Customer_Seniority_Low', 'Engagement_Score_High'})",0.06517857142857143,0.07660020986358868,1.0274519167331655
"frozenset({'Engagement_Score_Low', 'Customer_Seniority_Low'})",frozenset({'Response_0'}),0.16383928571428572,0.9557291666666666,1.123207415180133
"frozenset({'Engagement_Score_Low', 'Response_0'})",frozenset({'Customer_Seniority_Low'}),0.16383928571428572,0.45308641975308644,1.347826799796698
"frozenset({'Customer_Seniority_Low', 'Response_0'})",frozenset({'Engagement_Score_Low'}),0.16383928571428572,0.5334302325581395,1.3702794964796243
frozenset({'Engagement_Score_Low'}),"frozenset({'Customer_Seniority_Low', 'Response_0'})",0.16383928571428572,0.4208715596330275,1.3702794964796243
frozenset({'Customer_Seniority_Low'}),"frozenset({'Engagement_Score_Low', 'Response_0'})",0.16383928571428572,0.4873837981407702,1.347826799796698
frozenset({'Response_0'}),"frozenset({'Engagement_Score_Low', 'Customer_Seniority_Low'})",0.16383928571428572,0.1925498426023085,1.123207415180133
"frozenset({'Engagement_Score_Med', 'Customer_Seniority_Low'})",frozenset({'Response_0'}),0.078125,0.8663366336633663,1.018150083633757
frozenset({'Response_0'}),"frozenset({'Engagement_Score_Med', 'Customer_Seniority_Low'})",0.078125,0.09181532004197272,1.018150083633757
"frozenset({'Income_High', 'Customer_Seniority_Low'})",frozenset({'Response_0'}),0.10446428571428572,0.850909090909091,1.0000190785080607
"frozenset({'Income_High', 'Response_0'})",frozenset({'Customer_Seniority_Low'}),0.10446428571428572,0.4076655052264809,1.2127101350694782
"frozenset({'Customer_Seniority_Low', 'Response_0'})",frozenset({'Income_High'}),0.10446428571428572,0.34011627906976744,1.0198935275987673
frozenset({'Income_High'}),"frozenset({'Customer_Seniority_Low', 'Response_0'})",0.10446428571428572,0.3132530120481928,1.019893527598767
frozenset({'Customer_Seniority_Low'}),"frozenset({'Income_High', 'Response_0'})",0.10446428571428572,0.3107569721115538,1.2127101350694782
frozenset({'Response_0'}),"frozenset({'Income_High', 'Customer_Seniority_Low'})",0.10446428571428572,0.12277019937040924,1.0000190785080607
"frozenset({'Customer_Seniority_Low', 'Income_Low'})",frozenset({'Response_0'}),0.10223214285714285,0.9423868312757201,1.1075270210165862
"frozenset({'Response_0', 'Income_Low'})",frozenset({'Customer_Seniority_Low'}),0.10223214285714285,0.3464447806354009,1.0305927073350571
